"Estimates","se","Label","Country"
0.00826343823217203,0.0388754760115384,"Intervention","ABW"
0.171905435369385,0.0781381834165072,"Relation to AV","ABW"
0.346331216414265,0.0665157051423018,"Law","ABW"
0.180803636402724,0.0893536840585965,"Gender","ABW"
0.237433563572056,0.103101558274244,"Fitness","ABW"
0.398902201290324,0.10957637478046,"Social Status","ABW"
0.394041414816347,0.114872355999553,"Age","ABW"
0.571307234747084,0.0759020376966401,"No. Characters","ABW"
0.572468861242176,0.101154405842464,"Species","ABW"
0.0765904859341453,0.0308634048392855,"Intervention","AFG"
0.00459055866411651,0.0674290819884015,"Relation to AV","AFG"
0.300033835222467,0.0557192642828316,"Law","AFG"
-0.00755530354887119,0.0798662575903041,"Gender","AFG"
0.190209098571572,0.0833262970815703,"Fitness","AFG"
0.336341875017355,0.108407446154928,"Social Status","AFG"
0.390148841779732,0.0773481323050899,"Age","AFG"
0.466343107427006,0.0974736162481495,"No. Characters","AFG"
0.575618028669266,0.0920091469355788,"Species","AFG"
0.0350947040395148,0.0287606396832927,"Intervention","AGO"
-0.0723306070684307,0.0706102296831684,"Relation to AV","AGO"
0.361607879055695,0.0589766389309861,"Law","AGO"
0.0350801950237985,0.074016956121786,"Gender","AGO"
0.119326117801766,0.0736243138931319,"Fitness","AGO"
0.483078633119475,0.0935494462600191,"Social Status","AGO"
0.461626543227106,0.0611230539089521,"Age","AGO"
0.462462538776475,0.0616610151578588,"No. Characters","AGO"
0.593738121943977,0.0712249801981638,"Species","AGO"
0.092055450674415,0.0421807980347342,"Intervention","ALA"
0.102368647336474,0.0897982387333769,"Relation to AV","ALA"
0.287798761863394,0.0789272163411422,"Law","ALA"
0.0987295430480084,0.0925308125227708,"Gender","ALA"
0.0688216172635824,0.0985110439559597,"Fitness","ALA"
0.127865829905712,0.131834575921124,"Social Status","ALA"
0.482259438590717,0.0780785403886387,"Age","ALA"
0.45977262312751,0.0825727688511871,"No. Characters","ALA"
0.552224815091443,0.0773710130981641,"Species","ALA"
0.0472057009175499,0.014706187795079,"Intervention","ALB"
0.0546275619359868,0.0259416134632472,"Relation to AV","ALB"
0.345108361304324,0.0277427141089073,"Law","ALB"
0.112579672635517,0.0321909546082184,"Gender","ALB"
0.188009343919001,0.0327682879635164,"Fitness","ALB"
0.283644466922906,0.0483222167967484,"Social Status","ALB"
0.482305012730508,0.0329801033638445,"Age","ALB"
0.51445280517884,0.0284416620403479,"No. Characters","ALB"
0.603087455397977,0.0305025716066595,"Species","ALB"
0.0618866756495985,0.0251914979993306,"Intervention","AND"
0.230754350409649,0.0485914207486379,"Relation to AV","AND"
0.411267400790709,0.0533638007415357,"Law","AND"
